Estrella,# betas ,Largo(cm),Ancho(cm),theta(°),L(45°)(cm),Tipo
1,1,10,6,10,3.5,dentada
2,1,12,7.5,0,4,lanceolada
3,1,9.6,5,40,1.2,dentada
4,1,11.5,6.6,0,3.1,dentada
5,1,7.8,4.8,43,1.7,dentada
6,2,14,11.8,0,7,palmeada
7,1,5.5,4.5,225,2.2,palmeada
8,1,9,4.2,5,2.5,lanceolada
9,1,3.4,2.8,30,1.7,dentada
10,1,2,1,45,0.5,dentada
11,1,7.9,2.4,70,0,lanceolada
12,1,8,1.9,85,0,lanceolada
13,1,2.5,1.2,35,0.8,
14,3,5.5,4,225,2.5,palmeada
15,1,11.2,6,200,2,dentada
16,1,14,8,5,5.6,lanceolada
17,1,11.3,3.9,75,0,lanceolada
18,1,6.3,2,45,0.5,lanceolada
19,1,9,6.3,30,3,dentada
20,1,17.5,5,30,1.3,lanceolada
21,1,5.2,5.9,190,2.5,lanceolada
22,3,7,6.5,200,0,palmeada
23,1,3.2,2.5,200,2.6,lanceolada
24,1,5.7,3.6,15,3,lanceolada
25,1,2.3,1,45,0.3,lanceolada
26,1,19.3,5,0,2.2,lanceolada
27,2,3.8,1.5,22.5,0.7,palmeada
28,1,6.2,2.8,0,1.2,lanceolada
29,1,5.5,3.8,40,1.6,lanceolada
30,1,11,6.4,45,3.5,dentada
31,1,6,3.5,0,0,lanceolada
32,1,3.9,1.1,0,0,lanceolada
33,1,3.2,2.9,0,1.8,lanceolada
34,1,11.1,6.5,35,3.8,dentada
35,1,9.5,4.7,0,3,lanceolada
36,1,8.5,5.4,40,2.5,dentada
37,1,10,5.2,40,2.8,dentada
38,1,1.4,1,0,0,lanceolada
39,1,10.5,5.5,22.5,2.5,dentada
40,1,6.8,4.5,30,2,dentada
41,1,11.7,6,41,2.4,dentada
42,1,9.3,6.7,30,2,dentada
43,1,4.5,3,0,0,lanceolada
44,1,3,1.2,60,0.4,lanceolada
45,1,4.6,3.6,0,0,lanceolada
46,1,15,6.2,200,3.5,dentada
47,1,10,4.5,80,0,lanceolada
48,1,8.5,5.1,0,2.5,dentada
49,1,5.5,2.6,45,0.5,dentada
50,1,10.9,4,0,2.5,lanceolada
51,1,10.4,6.1,20,3.2,dentada
52,1,8,5.3,22,3.2,dentada
53,1,9.9,3.2,70,0,lanceolada
54,1,9,5.4,35,2.8,dentada
55,1,6.4,3.6,30,2,dentada
56,1,3,2.4,230,2.3,lanceolada
57,1,7.8,4.4,35,2.4,dentada
58,1,6.6,4.9,0,2.8,dentada
59,1,9.8,3.2,85,0,lanceolada
60,1,2.5,1.8,40,1.4,lanceolada
61,1,2,1.2,45,0.8,lanceolada
62,1,4.5,3,0,0,lanceolada
63,1,3,1.6,60,0,dentada
64,1,3,2,40,2.5,lanceolada
65,1,2,1.2,0,1.7,dentada
66,1,5.4,3.1,10,1.6,dentada
67,1,5.5,1.4,75,0,lanceolada
68,1,3,1.3,55,0.8,lanceolada
69,1,6.2,2.8,45,1.2,dentada
70,1,3.7,2.1,0,1.6,dentada
71,1,3.6,2.3,15,0.3,lanceolada
72,1,4.7,1.5,75,0,lanceolada
73,2,3.7,1.5,225,0.9,palmeada
74,1,2.8,1.5,0,0,dentada
75,1,2.8,1.6,45,0.3,dentada
76,1,2.1,1.1,0,0.6,dentada
77,1,2.3,0.9,65,0,dentada
78,1,1.9,1.2,0,0,lanceolada
79,1,1.9,1.2,42,0.8,lanceolada
80,1,1.8,1.2,0,0,lanceolada
81,1,1.9,1.2,0,0,lanceolada
82,1,2.4,0.5,0,70,dentada
83,1,0.9,0.7,45,0.4,dentada
84,1,1,0.5,0,0.3,lanceolada
85,1,1.2,0.4,30,0.2,lanceolada
86,1,8.9,4.6,15,2.6,lanceolada
87,1,16.4,5,45,1.2,dentada
88,3,14,11.5,225,5.6,palmeada
89,5,16.3,20,240,8.5,palmeada
90,3,9.5,8.8,190,5.7,palmeada
91,1,8.4,3,60,0,lanceolada
92,3,12.3,11.6,200,6.6,palmeada
93,3,9.5,8.6,215,5.8,palmeada
94,1,9.7,3.8,50,0,dentada
95,1,9.2,2.6,80,0,dentada
96,3,5.4,5.3,235,1.9,palmeada
97,1,8.5,6.5,45,3,lanceolada
98,1,7.8,3.2,85,0,lanceolada
99,1,13,7,0,4.5,lanceolada
100,1,8.6,2.8,75,0,lanceolada
101,3,9.4,10,0,6,palmeada
102,5,9.5,9.8,240,3.2,palmeada
103,1,8.8,2.7,45,1.4,lanceolada
104,1,5.6,2.9,30,1,dentada
105,1,10.2,2.5,0,0,lanceolada
106,1,7.8,2.8,45,1.2,lanceolada
107,1,16.5,5.2,50,0.6,lanceolada
108,3,9,9,200,5,palmeada
109,1,3.9,1.6,0,0.6,dentada
110,1,7.7,2.3,55,0,lanceolada
111,1,7.6,4.5,225,2.7,lanceolada
112,1,9.7,4,0,0,lanceolada
113,1,6,3.2,47,0,dentada
114,1,6.2,3.2,46,0,dentada
115,3,8.5,10.4,225,6.7,palmeada
116,3,9.6,10,200,6.2,palmeada
117,3,6.3,7.7,190,4.3,palmeada
118,4,4.4,4,250,1.8,palmeada
119,5,4.7,4.6,225,3.6,palmeada
120,1,8,2,80,0,lanceolada
121,3,6.5,3.6,225,2.4,palmeada
122,1,6.5,1.5,90,0,dentada
123,1,6,1.3,90,0,dentada
124,1,7.6,2.5,80,0,dentada
125,1,8.2,1.3,90,0,dentada
126,1,11.8,4,75,0,dentada
127,1,5.4,1.9,45,0.5,dentada
128,1,4.3,1.8,70,0,dentada
129,1,3,1.3,50,0,dentada
130,1,2.7,1.1,50,0,dentada
131,1,2.3,1.7,15,1.1,dentada
132,1,1.8,1.4,47,0,dentada
133,1,1.7,1.3,46,0,dentada
134,1,1.2,1,47,0,dentada
135,1,1.4,0.9,46,0,dentada
136,1,1.1,0.9,47,0,dentada
137,1,1.5,1.2,48,0,dentada
138,1,7.9,6,225,3.8,dentada
